Company/Brand,Sector,HeadQuarter,Year,Investor,Amount
CivilCops,Government,Gurugram,2018,Undisclosed,100000.0
Rockmetric,Information Technology,Mumbai,2018,Undisclosed,0.0
Classworks India,Education,Chennai,2018,Undisclosed,1200.0
Snapmint,Finance,Mumbai,2018,Undisclosed,0.0
artbandhu,Media and Entertainment,Bangalore,2018,Undisclosed,15000.0
Survaider,Business Intelligence,Bangalore,2018,Undisclosed,500000.0
Credy,Finance,Bangalore,2018,Undisclosed,1400000.0
iChamp,EdTech,Gurugram,2018,Undisclosed,5000000.0
Qandle,Software,Gurugram,2018,Undisclosed,1200000.0
Avishkaar Box,Children,New Delhi,2018,Undisclosed,600000.0
Gegadyne Energy,Automobile,Mumbai,2018,Undisclosed,0.0
HyperXchange,E-Commerce,Pune,2018,Undisclosed,1000000.0
Deftouch,Gaming,Bangalore,2018,Undisclosed,0.0
Doodhwala,Delivery,Bangalore,2018,Undisclosed,2200000.0
DronaHQ,Mobile,Mumbai,2018,Undisclosed,500000.0
FastFox,Rental,Gurugram,2018,Undisclosed,1200000.0
BuyForexOnline,Travel,Bangalore,2018,Undisclosed,2000000.0
Colive.in,Finance,Bangalore,2018,Undisclosed,1800000.0
Agricxlab Private Limited,B2B,Thane,2018,Undisclosed,500000.0
Corefactors,Government,Bangalore,2018,Undisclosed,0.0
Fincash.com,Wealth Management,Mumbai,2018,Undisclosed,150000.0
Pandorum Technologies,Biotechnology,Bangalore,2018,Undisclosed,3600000.0
Shirsa Labs,Education,Mumbai,2018,Undisclosed,500000.0
PetSutra,Veterinary,Gurugram,2018,Undisclosed,114000.0
Awaaz De,Information Technology,Ahmedabad,2018,Undisclosed,0.0
PinkBlue,Health,Bangalore,2018,Undisclosed,300000.0
Eduvanz,Finance,Mumbai,2018,Undisclosed,500000.0
Rupeek,Finance,Bangalore,2018,Undisclosed,6830000.0
Backpacker Panda Holidays Private Limited,Tourism,Pune,2018,Undisclosed,1400000.0
Shape (School Health and Physical Education),Education,Pune,2018,Undisclosed,200000.0
Placio,Hospitality,Noida,2018,Undisclosed,2000000.0
Aviom India Housing Finance,Finance,New Delhi,2018,Undisclosed,1800000.0
GenRobotic,Market Research,Trivandrum,2018,Undisclosed,0.0
HeyHolidays,Tourism,Bangalore,2018,Undisclosed,1000000.0
Pratilipi,Media and Entertainment,Bangalore,2018,Undisclosed,4300000.0
SectorQube,Electronics,Ernakulam,2018,Undisclosed,0.0
Food Memories,Food,Ahmedabad,2018,Undisclosed,0.0
ZAMROO,Information Technology,New Delhi,2018,Undisclosed,0.0
Silversparro Technologies Pvt. Ltd,Analytics,Gurugram,2018,Undisclosed,300000.0
Creator’s Gurukul,Facilities Support Services,Gurugram,2018,Undisclosed,0.0
Emflux Motors,Automobile,Bangalore,2018,Undisclosed,364846.0
Tricog Health Services Pvt Ltd,Health,Bangalore,2018,Undisclosed,4000000.0
Scapic,Cloud Computing,Bangalore,2018,Undisclosed,500000.0
6Degree,Fashion,Mumbai,2018,Undisclosed,400000.0
Chrysalis (EZ Vidya),Education,Chennai,2018,Undisclosed,0.0
Ekincare,Health,Hyderabad,2018,Undisclosed,1500000.0
Streo,Music Streaming,Gurugram,2018,Undisclosed,0.0
Groww,Finance,Kormangala,2018,Undisclosed,120000.0
Cell Propulsion,Energy,Bangalore,2018,Undisclosed,84000.0
Chezuba,Information Technology,Hyderabad,2018,Undisclosed,16800.0
Ontrack Technologies Pvt. Ltd,Retail,Bangalore,2018,Undisclosed,0.0
Wealthtrust,Finance,Mumbai,2018,Undisclosed,500000.0
Faclon Labs,Cloud Computing,Mumbai,2018,Undisclosed,0.0
Awign Enterprises,Business Development,Bangalore,2018,Undisclosed,600000.0
CollPoll,Education,Bangalore,2018,Undisclosed,0.0
Zyla Health,Health,New Delhi,2018,Undisclosed,0.0
Hubhopper,Information Technology,New Delhi,2018,Undisclosed,500000.0
Rubix108 Technologies,Information Technology,Pune,2018,Undisclosed,1000000.0
Workflexi,Human Resources,Bangalore,2018,Undisclosed,120000.0
Streak,Finance,Bangalore,2018,Undisclosed,270000.0
Kuants,Finance,Gurugram,2018,Undisclosed,60000.0
NiYO Solutions,Finance,Bangalore,2018,Undisclosed,13200000.0
Hippo Video,Customer Service,Chennai,2018,Undisclosed,0.0
Satvacart,E-Commerce,Gurugram,2018,Undisclosed,0.0
Daaki,Health,Bangalore,2018,Undisclosed,0.0
Simulanis,Training,New Delhi,2018,Undisclosed,500000.0
MY CHIRAAG CAB,Travel,Jaipur,2018,Undisclosed,1000000.0
WOTU,Food,Bangalore,2018,Undisclosed,0.0
Flathalt,Interior Design,Gurugram,2018,Undisclosed,50000.0
True Elements,Dietary Supplements,Pune,2018,Undisclosed,600000.0
Trendlyne Technologies,Finance,Bangalore,2018,Undisclosed,200000.0
Planys Technologies,Manufacturing,Chennai,2018,Undisclosed,1682400.0
HealthPlix,Fitness,Bangalore,2018,Undisclosed,3000000.0
dishq,Food,Bangalore,2018,Undisclosed,400000.0
Entropik Technology,Artificial Intelligence,Bangalore,2018,Undisclosed,1100000.0
myHQ,Collaboration,New Delhi,2018,Undisclosed,500000.0
Trell,Information Technology,Bangalore City,2018,Undisclosed,1250000.0
Kidovators (by GyanLab),Big Data,Bangalore,2018,Undisclosed,180000.0
Log 9 Materials,Nanotechnology,Uttar Pradesh,2018,Undisclosed,360000.0
VTION,Analytics,Gurugram,2018,Undisclosed,230400.0
HousingMan,—,Bangalore,2018,Undisclosed,1236000.0
Steradian Semiconductors,Electricals,Bangalore,2018,Undisclosed,0.0
RupeeCircle,Finance,Mumbai,2018,Undisclosed,480000.0
Wooden Street,E-Commerce,Jaipur,2018,Undisclosed,1000000.0
The Ken,Media and Entertainment,Bangalore,2018,Undisclosed,1500000.0
SaffronStays,Travel,Mumbai,2018,Undisclosed,2000000.0
Vebbler,File Sharing,Bangalore,2018,Undisclosed,0.0
Foyr,Home Decor,Pune,2018,Undisclosed,4200000.0
MEngage,Health,Jaipur,2018,Undisclosed,175000.0
Inner Being Wellness,Manufacturing,Hyderabad,2018,Undisclosed,420000.0
Kobster,E-Commerce,Chennai,2018,Undisclosed,0.0
Wishberry,Finance,Mumbai,2018,Undisclosed,1200000.0
McXtra,Finance,Andheri,2018,Undisclosed,1300000.0
Magic Crate,Children,Bangalore,2018,Undisclosed,0.0
SmartVizX,Software,Noida,2018,Undisclosed,1450000.0
MySEODoc,Marketing,New Delhi,2018,Undisclosed,0.0
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Marketing,Pune,2018,Undisclosed,2400.0
Scale Labs,E-Commerce,New Delhi,2018,Undisclosed,1000000.0
HungerBox,B2B,Bangalore,2018,Undisclosed,4500000.0
Biryani By Kilo,Food,Noida,2018,Undisclosed,1000000.0
Wholesome Habits (EAT Anytime),Food,Mumbai,2018,Undisclosed,500000.0
GoBumpr,Automobile,Mylapore,2018,Undisclosed,600000.0
Fixpocket,E-Commerce,Ahmedabad,2018,Undisclosed,250000.0
Edureka,Android,Bangalore,2018,Undisclosed,2000000.0
Hashtag Loyalty Private Limited,Analytics,Mumbai,2018,Undisclosed,0.0
Wow Express,Delivery,Mumbai,2018,Undisclosed,4500000.0
ZunRoof,Environmental Consulting,Gurugram,2018,Undisclosed,199200.0
Eggoz,Food,Indore,2018,Undisclosed,144000.0
Sqrrl Fintech,Big Data,Gurugram,2018,Undisclosed,1000000.0
GalaxyCard,Finance,Noida,2018,Undisclosed,0.0
IndiQube,Real Estate,Bangalore,2018,Undisclosed,15000000.0
EGK Foods,Food,Mumbai,2018,Undisclosed,240000.0
NirogStreet,Apps,Gurugram,2018,Undisclosed,300000.0
Pixr8,Media and Entertainment,Ghaziabad,2018,Undisclosed,50000.0
Nivesh,Finance,Noida,2018,Undisclosed,360000.0
Theranosis Life Sciences,Biotechnology,Hyderabad,2018,Undisclosed,0.0
Poshmiles Online Solutions Private Limited,Travel,Bangalore,2018,Undisclosed,0.0
Reculta,Education,Noida,2018,Undisclosed,0.0
Orbo,Information Technology,Mumbai,2018,Undisclosed,0.0
Inntot Technologies,Electronics,Kochi,2018,Undisclosed,0.0
Zoctr Health,Apps,Powai,2018,Undisclosed,0.0
Hey Deedee,Delivery Service,Mumbai,2018,Undisclosed,396000.0
DigiConnectt Technologys,Information Services,Bangalore,2018,Undisclosed,125000.0
Locus,Big Data,Bangalore,2018,Undisclosed,4000000.0
Sports Flashes Pvt. Ltd,Basketball,New Delhi,2018,Undisclosed,1000000.0
Inc42,Media and Entertainment,New Delhi,2018,Undisclosed,0.0
Picxy,Information Technology,Guntur,2018,Undisclosed,130000.0
Huddle,Consulting,Haryana,2018,Undisclosed,300000.0
Benepik,Human Resources,Gurugram,2018,Undisclosed,0.0
Cash Suvidha,Finance,New Delhi,2018,Undisclosed,1000000.0
Smartcoin,Big Data,Bangalore,2018,Undisclosed,2000000.0
Carmel Organics,Agriculture,Indore,2018,Undisclosed,0.0
Roadcast,Delivery,New Delhi,2018,Undisclosed,250000.0
Printline Media(ThePrint),Media and Entertainment,New Delhi,2018,Undisclosed,418800.0
Creditas Solutions,Finance,Gurugram,2018,Undisclosed,0.0
UrbanPiper,Software,Bangalore,2018,Undisclosed,0.0
Doxper,Health,Mumbai,2018,Undisclosed,864000.0
i2ifunding,Finance,Noida,2018,Undisclosed,600000.0
ShakeDeal,B2B,Bangalore,2018,Undisclosed,0.0
HelloVerify,Fraud Detection,Noida,2018,Undisclosed,0.0
Fasal,Agriculture,Bangalore,2018,Undisclosed,120000.0
CoinGeto,Cryptocurrency,New Delhi,2018,Undisclosed,1440000.0
Avail Finance,Finance,Bangalore,2018,Undisclosed,17200000.0
Tripeur,Information Technology,Bangalore,2018,Undisclosed,600000.0
Wedeterna,Wedding,Bangalore,2018,Undisclosed,0.0
Stumagz,Media and Entertainment,Hyderabad,2018,Undisclosed,0.0
Doubtnut,EdTech,Gurugram,2018,Undisclosed,420000.0
MCaffeine,Consumer Goods,Mumbai,2018,Undisclosed,384000.0
TrustCheckr,Information Technology,Bangalore,2018,Undisclosed,100000.0
HealthAssure,Fitness,Mumbai,2018,Undisclosed,1000000.0
Picture TIme,Media and Entertainment,New Delhi,2018,Undisclosed,3000000.0
1Crowd,Finance,Mumbai,2018,Undisclosed,3500000.0
Aarav Unmanned Systems,Delivery,Bangalore,2018,Undisclosed,0.0
Wellthy Therapeutics Pvt Ltd,Health,Mumbai,2018,Undisclosed,1620000.0
Nua,Consumer Goods,Mumbai,2018,Undisclosed,0.0
Kuvera.in,Finance,Bangalore,2018,Undisclosed,250000.0
Livehealth,Health,Pune,2018,Undisclosed,1100000.0
Gramophone,Agriculture,Indore,2018,Undisclosed,1000000.0
Ora,Business Travel,Kolkata,2018,Undisclosed,0.0
Buddy4Study,Career Planning,Noida,2018,Undisclosed,3000000.0
Predible Health,Health,Bangalore,2018,Undisclosed,0.0
Syncremedies Healthcare Pvt Ltd,Health,Bangalore,2018,Undisclosed,0.0
Blueleaf Cyberspace Systems,Information Technology,Bangalore,2018,Undisclosed,0.0
Toffee,Food,Gurugram,2018,Undisclosed,1500000.0
ORO Wealth,Wealth Management,Mumbai,2018,Undisclosed,1600000.0
HealWell24,Dental,Mumbai,2018,Undisclosed,200000.0
Acko General Insurance,Finance,Mumbai,2018,Undisclosed,12000000.0
arzooo,Electronics,Bangalore,2018,Undisclosed,180000.0
Bonphul Air Products,CleanTech,New Delhi,2018,Undisclosed,240000.0
DheeYantra Research Labs,Artificial Intelligence,Bangalore,2018,Undisclosed,0.0
Edyoo,Education,Bangalore,2018,Undisclosed,1000000.0
Chtrbox,Advertising,Mumbai,2018,Undisclosed,120000.0
Aashiyaan Housing and Development Finance,Finance,Kolkata,2018,Undisclosed,1620000.0
BetterPlace Safety Solutions Pvt. Ltd.,Human Resources,Bangalore City,2018,Undisclosed,3000000.0
Cashkumar,Finance,Bangalore,2018,Undisclosed,600000.0
Rocketium,Marketing,Bangalore,2018,Undisclosed,240000.0
FreightBazaar,Transportation,Hyderabad,2018,Undisclosed,0.0
OPEN,Finance,Bangalore,2018,Undisclosed,0.0
mfine,Health,Bangalore,2018,Undisclosed,4200000.0
Earth Food,Food,Pune,2018,Undisclosed,768000.0
Charcoal Eats,Food,Mumbai,2018,Undisclosed,600000.0
Wishfie,Apps,Bangalore,2018,Undisclosed,0.0
The Social Hook,Marketing,Bangalore,2018,Undisclosed,0.0
FreightBro,Apps,Mumbai,2018,Undisclosed,0.0
Finwego,Finance,Chennai,2018,Undisclosed,0.0
Cricnwin,Media and Entertainment,Gurugram,2018,Undisclosed,0.0
Wicked Ride Adventure Services Private Limited,Automobile,Bangalore,2018,Undisclosed,10000000.0
Career Anna,E-Commerce,Bangalore,2018,Undisclosed,480000.0
ERUDITUS Executive Education,Education,Mumbai,2018,Undisclosed,40000000.0
Gaia Smart Cities,Smart Cities,Mumbai,2018,Undisclosed,0.0
Square Off,Information Technology,Mumbai,2018,Undisclosed,1100000.0
UrbanClap,Apps,New Delhi,2018,Undisclosed,50000000.0
Hospals,Health,New Delhi,2018,Undisclosed,1500000.0
Kogta Financial India Limited,Finance,Jaipur,2018,Undisclosed,18480000.0
Perspectico,Career Planning,New Delhi,2018,Undisclosed,0.0
The Souled Store,Fashion,Mumbai,2018,Undisclosed,3000000.0
Hush - Speak Up. Make Work Better,Consultancy,Bangalore,2018,Undisclosed,540000.0
Drivezy,Automobile,Bangalore,2018,Undisclosed,100000000.0
Freyr Energy,Energy,Hyderabad,2018,Undisclosed,1500000.0
NIRAMAI Health Analytix,Health,Bangalore,2018,Undisclosed,6000000.0
CloudSek,Information Technology,Bangalore,2018,Undisclosed,1680000.0
Lendbox,Finance,New Delhi,2018,Undisclosed,720000.0
Verloop,Customer Service,Bangalore,2018,Undisclosed,3000000.0
Flickstree,Advertising,Mumbai,2018,Undisclosed,0.0
Paymatrix,Credit Cards,Hyderabad,2018,Undisclosed,100000.0
Idha Skin Clinic,Beauty,Bangalore City,2018,Undisclosed,60000.0
InCred,Finance,Mumbai,2018,Undisclosed,41900000.0
Vedantu,EdTech,Bangalore,2018,Undisclosed,11000000.0
Sportido,Social Media,Noida,2018,Undisclosed,0.0
Stelis Biopharma,Biotechnology,Bangalore,2018,Undisclosed,100000000.0
Magicpin,E-Commerce,Gurugram,2018,Undisclosed,16920000.0
Try & Buy,E-Commerce,New Delhi,2018,Undisclosed,0.0
Mech Mocha,Media and Entertainment,Bangalore,2018,Undisclosed,3530000.0
